"id","cell"
"ENSG00000130164","7316_158_S"
"ENSG00000162408","7316_158_S"
"ENSG00000088305 and ENSG00000130816","7316_158_S"
"ENSG00000148459","7316_158_S"
"ENSG00000164494","7316_158_S"
"ENSG00000239900","7316_158_S"
"ENSG00000139433","7316_158_S"
"ENSG00000004961","7316_158_S"
"ENSG00000153976","7316_158_S"
"ENSG00000153574","7316_158_S"
"ENSG00000099194","7316_1746_S"
"ENSG00000068366","7316_1746_S"
"ENSG00000099797","7316_1746_S"
"ENSG00000084754 and ENSG00000138029 and ENSG00000167315","7316_1746_S"
"ENSG00000110090","7316_1746_S"
"ENSG00000101986","7316_1746_S"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835","7316_1746_S"
"ENSG00000169710","7316_1746_S"
"ENSG00000084754 and ENSG00000113790 and ENSG00000127884","7316_1746_S"
"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721","7316_1746_S"
